,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
699,"Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel",4 wins.,N/A,France,02 Feb 1999,Henri-Georges Clouzot,"Crime, Drama, Horror, Mystery, Thriller","French, English",N/A,The wife and mistress of a loathed school principal hatch a plan to murder him while having the perfect alibi. They carry out the plan...but then his body disappears.,https://m.media-amazon.com/images/M/MV5BMGJmNmU5OTAtOTQyYy00MmM3LTk4MzUtMGFiZDYzODdmMmU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Kino Lorber Inc.,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",21 Nov 1955,True,117 min,Diabolique,movie,N/A,"Pierre Boileau (novel), Thomas Narcejac (novel), Henri-Georges Clouzot (scenario and dialogue), Jérôme Géronimi (scenario and dialogue), René Masson (collaboration), Frédéric Grendel (collaboration)",1955,tt0046911,8.1,"55,814"
700,"Michèle Morgan, Gérard Philipe, Jean Desailly, Pierre Dux",3 wins & 1 nomination.,N/A,"France, Italy",N/A,René Clair,"Comedy, Drama, Romance",French,N/A,"A French lieutenant makes a bet that he can seduce any woman in town in the two weeks before his regiment leaves for maneuvers, but his chosen target (a Parisian divorcée) isn't like other girls he's known.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNTEyODEyNV5BMl5BanBnXkFtZTcwMjQ0NTUyMQ@@._V1._CR15,2,299,419_SY132_CR2,0,89,132_AL_.jpg_V1_SX300.jpg",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",01 Oct 1956,True,106 min,The Grand Maneuver,movie,N/A,"René Clair (screenplay), Jérôme Géronimi (adaptation), Jean Marsan (adaptation)",1955,tt0048133,6.9,709
701,"Janet Leigh, Jack Lemmon, Betty Garrett, Bob Fosse",N/A,N/A,USA,22 Feb 2005,Richard Quine,"Comedy, Musical, Romance","English, Portuguese",N/A,"After submitting a story of her beautiful sister, a woman assumes her identity to maintain the attention of a playboy publisher.",https://m.media-amazon.com/images/M/MV5BMTMxODUyODY0Ml5BMl5BanBnXkFtZTcwODc5NjcyMQ@@._V1_SX300.jpg,Sony Pictures Entertainment,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",22 Sep 1955,True,108 min,My Sister Eileen,movie,N/A,"Blake Edwards (screenplay), Richard Quine (screenplay), Joseph Fields (play), Jerome Chodorov (play), Ruth McKenney (stories)",1955,tt0048401,6.8,"1,339"
702,"Marlon Brando, Jean Simmons, Frank Sinatra, Vivian Blaine",Nominated for 4 Oscars. Another 2 wins & 3 nominations.,N/A,USA,15 May 2001,Joseph L. Mankiewicz,"Comedy, Crime, Musical, Romance",English,N/A,"In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game.",https://m.media-amazon.com/images/M/MV5BZGJlZTBiZTAtN2I3ZS00NzJmLWEwOTAtYjlkZjg0NzVmOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,MGM,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",23 Dec 1955,True,150 min,Guys and Dolls,movie,N/A,"Jo Swerling (based upon the play: ""Guys and Dolls"" book by), Abe Burrows (based upon the play: ""Guys and Dolls"" book by), Damon Runyon (from a story), Joseph L. Mankiewicz (written for the screen by)",1955,tt0048140,7.2,"13,936"
703,"Gordon MacRae, Gloria Grahame, Gene Nelson, Charlotte Greenwood",Won 2 Oscars. Another 1 win & 4 nominations.,N/A,USA,27 Apr 1999,Fred Zinnemann,"Comedy, Drama, Musical, Romance, Western",English,N/A,"In Oklahoma, several farmers, cowboys and a traveling salesman compete for the romantic favors of various local ladies.",https://m.media-amazon.com/images/M/MV5BNTJjMjY5YzMtZGUzNS00NDgzLTllZjctZjgyNjJmZmFhYzVlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,ByExperience,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",06 Sep 1956,True,145 min,Oklahoma!,movie,N/A,"Sonya Levien (screen play), William Ludwig (screen play), Richard Rodgers (adapted from Rodgers and Hammerstein's musical play), Oscar Hammerstein II (adapted from Rodgers and Hammerstein's musical play), Lynn Riggs (based upon a dramatic play by)",1955,tt0048445,7.2,"10,128"
704,"Peggy Lee, Larry Roberts, Bill Baucom, Verna Felton",Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.,N/A,USA,07 Feb 2012,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Animation, Adventure, Comedy, Drama, Family, Romance",English,78,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,https://m.media-amazon.com/images/M/MV5BYTI1ZDc1OTItM2EzNS00ODMxLWIxYzctOTc5YWNiYzI3NGZiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Buena Vista Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",22 Jun 1955,True,76 min,Lady and the Tramp,movie,N/A,"Ward Greene (from the story by), Erdman Penner (story), Joe Rinaldi (story), Ralph Wright (story), Don DaGradi (story)",1955,tt0048280,7.3,"106,817"
705,"Humphrey Bogart, Aldo Ray, Peter Ustinov, Joan Bennett",N/A,N/A,USA,27 Sep 2005,Michael Curtiz,"Comedy, Crime, Romance","English, French",N/A,Three Devil's Island escapees hide out in the house of a kindly merchant and repay his kindness by helping him and his family out of several crises.,https://m.media-amazon.com/images/M/MV5BN2FjY2ViOWUtODk2Yi00NWJjLTgzYTQtOGQ2N2IxYzAwMmI3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Paramount Pictures,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",08 Sep 1955,True,106 min,We're No Angels,movie,N/A,"Albert Husson (play), Ranald MacDougall",1955,tt0048801,7.5,"7,129"
706,"Edmund Gwenn, John Forsythe, Mildred Natwick, Mildred Dunnock",Won 1 Golden Globe. Another 4 nominations.,N/A,USA,06 Mar 2001,Alfred Hitchcock,"Comedy, Mystery",English,74,"The trouble with Harry is that he's dead, and everyone seems to have a different idea of what should be done with his body.",https://m.media-amazon.com/images/M/MV5BNjlkYmE2YzYtYzIzMC00ODFhLTljNjYtZjA4YWY2ZGM5NTYwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MCA Universal Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",03 Oct 1955,True,99 min,The Trouble with Harry,movie,N/A,"John Michael Hayes (screenplay), Jack Trevor Story (based on the novel by)",1955,tt0048750,7.1,"29,854"
707,"John Ireland, Dorothy Malone, Bruce Carlisle, Iris Adrian",N/A,N/A,USA,29 Mar 2005,"John Ireland, Edward Sampson","Crime, Drama, Mystery, Thriller",English,N/A,"A trucker framed for murder breaks out of jail, takes a young woman hostage, and enters her sports car in cross-border road race hoping to get to Mexico before the police catch him.",https://m.media-amazon.com/images/M/MV5BZmI3YmNhNzktOTMzNC00ODg4LTk3YmQtMGI2ZGQzNzcwZmRkXkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg,Gravitas,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",01 Nov 1954,True,73 min,The Fast and the Furious,movie,N/A,"Jerome Odlum (screenplay), Jean Howell (screenplay), Roger Corman (story)",1954,tt0046969,5.3,"1,064"
708,"Frank Silvera, Jamie Smith, Irene Kane, Jerry Jarrett",1 win.,N/A,USA,15 May 2001,Stanley Kubrick,"Crime, Drama, Film-Noir, Thriller",English,N/A,"Ready to catch a train to his hometown, a washed up boxer tells us about the strange and twisty events that happened to him the past couple of days.",https://m.media-amazon.com/images/M/MV5BM2FiNjRlMWQtNDk0Ny00OTA0LWI0ZjEtNTM4NmZlZTllZDFlXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_SX300.jpg,United Artists,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}]",01 Oct 1955,True,67 min,Killer's Kiss,movie,N/A,Stanley Kubrick (story),1955,tt0048254,6.7,"18,781"
709,"Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers",Nominated for 1 Oscar. Another 2 wins & 2 nominations.,N/A,UK,10 Sep 2002,Alexander Mackendrick,"Comedy, Crime",English,91,Five diverse oddball criminal types planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,https://m.media-amazon.com/images/M/MV5BYTVlM2JmOGQtNWEwYy00NDQzLWIyZmEtOGZhMzgxZGRjZDA0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,LionsGate Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",24 Feb 1956,True,91 min,The Ladykillers,movie,N/A,"William Rose (story), William Rose (screenplay)",1955,tt0048281,7.8,"23,888"
710,"Kanu Bannerjee, Karuna Bannerjee, Chunibala Devi, Uma Das Gupta",Nominated for 1 BAFTA Film Award. Another 8 wins & 1 nomination.,N/A,India,28 Oct 2003,Satyajit Ray,Drama,Bengali,N/A,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",https://m.media-amazon.com/images/M/MV5BMTU5ZTk4Y2YtYTQ4Zi00YzQ3LWJmZjEtOGJjMjQzN2M4MTY1XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,Sony Pictures Classics,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",22 Sep 1958,True,125 min,Pather Panchali,movie,N/A,"Bibhutibhushan Bandyopadhyay (novel), Satyajit Ray (screenplay)",1955,tt0048473,8.5,"18,828"
711,"Cary Grant, Grace Kelly, Jessie Royce Landis, John Williams",Won 1 Oscar. Another 5 nominations.,N/A,USA,24 Mar 2009,Alfred Hitchcock,"Mystery, Romance, Thriller","English, French",N/A,"When a reformed jewel thief is suspected of returning to his former occupation, he must ferret out the real thief in order to prove his innocence.",https://m.media-amazon.com/images/M/MV5BODM2ODgyOGYtYzYwMC00ZTEwLTg2MmItZDI2OTdhMTdiMGFiL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Paramount Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",05 Aug 1955,True,106 min,To Catch a Thief,movie,N/A,"John Michael Hayes (screenplay), David Dodge (based on the novel by)",1955,tt0048728,7.5,"55,451"
712,"Bela Lugosi, Tor Johnson, Tony McCoy, Loretta King",N/A,N/A,USA,15 Feb 2000,Edward D. Wood Jr.,"Horror, Sci-Fi",English,N/A,A mad doctor attempts to create atomic supermen.,https://m.media-amazon.com/images/M/MV5BMzhjM2VlNmItY2JiOC00M2U1LWE2YzktZmY1ZTJlZmRiZTBhXkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,Banner Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}]",01 Feb 1956,True,69 min,Bride of the Monster,movie,N/A,"Edward D. Wood Jr. (original story and screenplay), Alex Gordon (original story and screenplay)",1955,tt0047898,4.2,"6,012"
713,"Jeff Morrow, Faith Domergue, Rex Reason, Lance Fuller",1 win & 1 nomination.,N/A,USA,22 Aug 2006,Joseph M. Newman,"Horror, Mystery, Sci-Fi",English,N/A,Aliens come to Earth seeking scientists to help them in their war.,https://m.media-amazon.com/images/M/MV5BMDIzYWI3MWMtNTQ3OC00Y2Q5LThjODEtZTgxMWMyNDgwNzZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Studios Home Video,Passed,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",15 Jun 1955,True,86 min,This Island Earth,movie,N/A,"Raymond F. Jones (story ""The Alien Machine""), Franklin Coen (screenplay), George Callahan (screenplay)",1955,tt0047577,5.9,"7,967"
714,"Leslie Caron, Michael Wilding, Keenan Wynn, Estelle Winwood",N/A,N/A,USA,18 Apr 1991,Charles Walters,"Musical, Romance",English,N/A,"Tomboyish outcast ""Cinder"" Ella and the duke's charming son Charles fall in love in this comedic rendition of the classic fairy tale.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjc2MTA0MDI1OV5BMl5BanBnXkFtZTgwMzE2MjkyMTE@._V1_SX300.jpg,MGM,UNRATED,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",29 Nov 1955,True,93 min,The Glass Slipper,movie,N/A,"Helen Deutsch (libretto), Helen Deutsch (screenplay)",1955,tt0048124,6.5,"1,028"
715,"Alec Guinness, Jack Hawkins, Wilfrid Lawson, Kenneth Griffith",Nominated for 5 BAFTA Film Awards. Another 3 wins & 1 nomination.,N/A,UK,02 Mar 2004,Peter Glenville,Drama,English,N/A,"A cardinal is arrested for treason against the state. As a prince of his church, and a popular hero of this people, for his resistance against the Nazis during the war and afterward his ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NDUyNzQ4NV5BMl5BanBnXkFtZTcwNTA4MTUyMQ@@._V1_SX300.jpg,Sony Pictures Entertainment,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}]",11 Dec 1955,True,91 min,The Prisoner,movie,N/A,"Bridget Boland (play), Bridget Boland (screenplay)",1955,tt0048512,7.1,585
716,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen",N/A,N/A,USA,15 Aug 2001,Stanley Kubrick,"Crime, Drama, Film-Noir, Thriller",English,N/A,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,https://m.media-amazon.com/images/M/MV5BMDE5ZjAwY2YtOWM5Yi00ZWNlLWE5ODQtYjA4NzA1NGFkZDU5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,United Artists,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",06 Jun 1956,True,84 min,The Killing,movie,http://www.amctv.com/shows/the-killing,"Stanley Kubrick (screenplay), Jim Thompson (dialogue), Lionel White (novel)",1956,tt0049406,8.0,"72,532"
717,"Kamala Adhikari, Lalchand Banerjee, Kali Bannerjee, Kanu Bannerjee",Nominated for 2 BAFTA Film Awards. Another 6 wins.,N/A,India,28 Oct 2003,Satyajit Ray,Drama,"Bengali, English",N/A,"Following his father's death, a boy leaves home to study in Calcutta, while his mother must face a life alone.",https://m.media-amazon.com/images/M/MV5BMjI1NjI2OTM4N15BMl5BanBnXkFtZTgwMzQ2MzkwNzE@._V1_SX300.jpg,N/A,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",11 Oct 1956,True,110 min,Aparajito,movie,N/A,"Bibhutibhushan Bandyopadhyay (novel), Satyajit Ray (script by: in subtitles), Kanailal Basu (assistant screenplay writer)",1956,tt0048956,8.2,"9,363"
718,"Lon Chaney Jr., Max Showalter, Marian Carr, Ross Elliott",N/A,N/A,USA,27 Aug 2002,Jack Pollexfen,"Crime, Horror, Sci-Fi",English,N/A,"Charles ""The Butcher"" Benton, a brutal death row inmate gets double-crossed by his crooked lawyer. He gets his chance for revenge when, after he's been executed, a bizarre experiment brings him back to life and more deadly than ever.",https://m.media-amazon.com/images/M/MV5BNzI1NzNmYzEtNjE3Zi00ZThmLWEyMTItYTQ4NzQ1OTkyMjU4XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_SX300.jpg,American Pop Classics,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",25 Mar 1956,True,72 min,Indestructible Man,movie,N/A,"Vy Russell (original screenplay), Sue Dwiggins (original screenplay)",1956,tt0049363,3.8,"1,873"
719,"Henry Fonda, Vera Miles, Anthony Quayle, Harold J. Stone",N/A,N/A,USA,07 Sep 2004,Alfred Hitchcock,"Drama, Film-Noir","English, Italian, Spanish",N/A,"In 1953, an innocent man named Christopher Emmanuel ""Manny"" Balestrero is arrested after being mistaken for an armed robber.",https://m.media-amazon.com/images/M/MV5BOWFhOTM1NDItZTMyYi00MGZiLWFjYTktOWI3YTgzNGRjY2I3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Warner Bros. Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",26 Jan 1957,True,105 min,The Wrong Man,movie,N/A,"Maxwell Anderson (screen play), Angus MacPhail (screen play), Maxwell Anderson (story)",1956,tt0051207,7.5,"22,639"
720,"John Ireland, Beverly Garland, Allison Hayes, Martin Kingsley",N/A,N/A,USA,N/A,Roger Corman,Western,English,N/A,"After her husband is gunned down, Rose Hood takes his place temporarily as Marshal of a small Western town.",https://m.media-amazon.com/images/M/MV5BMjA0NzAwNDk5Nl5BMl5BanBnXkFtZTcwNTMwMjkzNA@@._V1_SX300.jpg,Timeless,Approved,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",15 Jun 1956,True,83 min,Gunslinger,movie,N/A,"Charles B. Griffith (screenplay), Mark Hanna (screenplay)",1956,tt0049287,3.2,"1,286"
721,"Clifton Webb, Gloria Grahame, Robert Flemyng, Josephine Griffin",Won 1 BAFTA Film Award. Another 1 win & 4 nominations.,N/A,"UK, USA",07 Jun 2005,Ronald Neame,"War, Drama","English, German, Spanish, Latin",N/A,"True story of a British attempt to trick the enemy into weakening Sicily's defenses before the 1943 attack, using a dead man with faked papers.",https://m.media-amazon.com/images/M/MV5BMDY1ZDlmMWUtMTdlZC00ZmM4LTkwYmMtY2JmZTFhYjJiYzU0XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Twentieth Century Fox,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",09 May 1956,True,103 min,The Man Who Never Was,movie,N/A,"Ewen Montagu (book), Nigel Balchin (screenplay)",1956,tt0049471,7.4,"3,768"
722,"Marilyn Monroe, Don Murray, Arthur O'Connell, Betty Field",Nominated for 1 Oscar. Another 1 win & 6 nominations.,N/A,USA,14 May 2002,Joshua Logan,"Comedy, Drama, Romance",English,N/A,A naive but stubborn cowboy falls in love with a saloon singer and tries to take her away against her will to get married and live on his ranch in Montana.,https://m.media-amazon.com/images/M/MV5BZDA0ODY1OWMtMmE3MC00ZGFmLWJhMjQtMGZmM2Q4YTk1ZDQ2XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,20th Century Fox Film Corporation,Approved,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}]",20 Sep 1956,True,96 min,Bus Stop,movie,N/A,"George Axelrod (screenplay), William Inge (based on the play by)",1956,tt0049038,6.6,"9,705"
723,"John Wayne, Jeffrey Hunter, Vera Miles, Ward Bond",Won 1 Golden Globe. Another 2 wins & 3 nominations.,N/A,USA,18 May 1999,John Ford,"Adventure, Drama, Western","English, Navajo, Spanish",N/A,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,https://m.media-amazon.com/images/M/MV5BYWQ3YWJiMDEtMDBhNS00YjY1LTkzNmEtY2U4Njg4MjQ3YWE3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Warner Bros. Pictures,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",26 May 1956,True,119 min,The Searchers,movie,N/A,"Frank S. Nugent (screenplay), Alan Le May (from the novel by)",1956,tt0049730,8.0,"71,975"
724,"Deborah Kerr, Yul Brynner, Rita Moreno, Martin Benson",Won 5 Oscars. Another 5 wins & 11 nominations.,N/A,USA,27 Apr 1999,Walter Lang,"Biography, Drama, Musical, Romance","English, Thai",72,A widow accepts a job as a live-in governess to the King of Siam's children.,https://m.media-amazon.com/images/M/MV5BNmJkYTViMzItZDM3YS00MDU2LTkzYWItMGJkYjVjMjU2YjNlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,20th Century Fox,G,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",29 Jun 1956,True,133 min,The King and I,movie,N/A,"Ernest Lehman (screenplay), Oscar Hammerstein II (book), Margaret Landon (from their musical play based on Anna and the King of Siam by)",1956,tt0049408,7.5,"21,880"
725,"David Niven, Cantinflas, Shirley MacLaine, Robert Newton",Won 5 Oscars. Another 8 wins & 5 nominations.,N/A,USA,18 May 2004,"Michael Anderson, John Farrow","Adventure, Comedy, Family, Romance","English, Spanish, French",N/A,A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.,https://m.media-amazon.com/images/M/MV5BNjRhNjVlYTgtODZiOS00OTVhLWE4ZTItZjc3MTFiYWY1YjI5L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,United Artists,G,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",17 Oct 1956,True,175 min,Around the World in 80 Days,movie,N/A,"James Poe (screenplay), John Farrow (screenplay), S.J. Perelman (screenplay), Jules Verne (book)",1956,tt0048960,6.8,"21,350"
726,"Audrey Hepburn, Henry Fonda, Mel Ferrer, Vittorio Gassman",Nominated for 3 Oscars. Another 5 wins & 10 nominations.,N/A,"USA, Italy",03 Dec 2002,King Vidor,"Drama, Romance, War","English, Italian, Russian",N/A,Napoleon's tumultuous relations with Russia including his disastrous 1812 invasion serve as the backdrop for the tangled personal lives of two aristocratic families.,https://m.media-amazon.com/images/M/MV5BNmJjOThlYTYtYzFlZC00NjI1LWFhNzItYmIzNzk5NDZkZmRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Paramount Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",21 Aug 1956,True,208 min,War and Peace,movie,N/A,"Leo Tolstoy (based on the novel by), Bridget Boland (adaptation), Robert Westerby (adaptation), King Vidor (adaptation), Mario Camerini (adaptation), Ennio De Concini (adaptation), Ivo Perilli (adaptation)",1956,tt0049934,6.8,"7,899"
727,"Bob Hope, Katharine Hepburn, Noelle Middleton, James Robertson Justice",N/A,N/A,UK,N/A,Ralph Thomas,Comedy,English,N/A,"Captain Vinka Kovelenko defects from Russia, but not for political reasons. She defects because she feels discriminated against as a woman. Captain Chuck Lockwood gets the order to show her...",https://images-na.ssl-images-amazon.com/images/M/MV5BYTU5MjA5YTMtYzMzMi00ZDQxLWE0YjItNjk2MGMwNzQ0MjQyXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,MGM,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",07 Jan 1957,True,87 min,The Iron Petticoat,movie,N/A,Ben Hecht (screenplay),1956,tt0049369,5.3,792
728,"Nancy Kelly, Patty McCormack, Henry Jones, Eileen Heckart",Nominated for 4 Oscars. Another 1 win & 1 nomination.,N/A,USA,10 Aug 2004,Mervyn LeRoy,"Crime, Drama, Horror, Mystery, Thriller",English,N/A,A housewife suspects that her seemingly perfect eight year-old daughter is a heartless killer.,https://m.media-amazon.com/images/M/MV5BYTM5M2QxMTktNzQ3NC00ZDUyLWJhZGEtNjhjMDIwYWEzOGNkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,WARNER BROTHERS PICTURES,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}]",12 Sep 1956,True,129 min,The Bad Seed,movie,N/A,"John Lee Mahin (screenplay), Maxwell Anderson (play), William March (novel)",1956,tt0048977,7.5,"11,205"
729,"Esther Williams, George Nader, John Saxon, Edward Andrews",N/A,N/A,USA,N/A,Harry Keller,"Crime, Drama, Film-Noir, Mystery, Thriller",English,N/A,"A beautiful teacher is protective of a high school boy who sexually harassed her, and later he becomes a murder suspect.",https://m.media-amazon.com/images/M/MV5BOWE4NDdlZWUtMTJhMi00Njk3LWJkYjktM2Y2N2UzYWQ2NDZjXkEyXkFqcGdeQXVyNTk1MTk0MDI@._V1_SX300.jpg,N/A,Approved,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",27 Dec 1956,True,95 min,The Unguarded Moment,movie,N/A,"Herb Meadow (screenplay), Lawrence B. Marcus (screenplay), Rosalind Russell (story), Lawrence B. Marcus (story)",1956,tt0049904,6.5,307
730,"Donald Sinden, Muriel Pavlow, Belinda Lee, Michael Craig",N/A,N/A,UK,28 Jun 2005,Muriel Box,"Crime, Drama",English,N/A,"When she has a fight, with her husband, Lucy runs out of the house, and into a night of terror. She heads for the local cinema, and in doing so, becomes the only eyewitness to a couple of ...",https://m.media-amazon.com/images/M/MV5BMDU1MDRlYWEtNzQ4Mi00ODRhLWJjYzItZjljNmYzMWEyNGViXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",21 Jan 1957,True,82 min,Eyewitness,movie,N/A,"Janet Green (original story), Janet Green (screenplay)",1956,tt0049196,6.2,100
731,"Priscilla Lane, Robert Cummings, Otto Kruger, Alan Baxter",1 nomination.,N/A,USA,06 Mar 2001,Alfred Hitchcock,"Thriller, War",English,64,An aircraft factory worker goes on the run after being wrongly accused of starting a fire that killed his best friend.,https://m.media-amazon.com/images/M/MV5BMWNlZDIyZWItMDJkZS00OGZhLTg0YzYtOWVhM2ExZTY3NDk3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MCA Universal Home Video,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",24 Apr 1942,True,109 min,Saboteur,movie,N/A,"Peter Viertel (original screen play), Joan Harrison (original screen play), Dorothy Parker (original screen play)",1942,tt0035279,7.2,"20,816"
